 ✔ Container stash Running                                                                                                     0.0s
Attaching to stash
stash  | 2026-04-23T19:03:06.535884363-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000180","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":293,"elapsed":0.367941,"status":200} service=stash
stash  | 2026-04-23T19:03:07.544892736-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000181","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":293,"elapsed":0.20441,"status":200} service=stash
stash  | 2026-04-23T19:03:08.553303971-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000182","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":293,"elapsed":0.587356,"status":200} service=stash
stash  | 2026-04-23T19:03:09.56285634-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54143","requestID":"438a9a6f1e38/hcstIKcZuT-000183","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":293,"elapsed":0.219191,"status":200} service=stash
stash  | 2026-04-23T19:03:10.159102361-03:00 INF Response: 200 OK httpRequest={"proto":"HTTP/1.1","remoteIP":"192.168.42.106:54145","requestID":"438a9a6f1e38/hcstIKcZuT-000185","requestMethod":"POST","requestPath":"/graphql","requestURL":"http://192.168.42.164:9999/graphql"} httpResponse={"bytes":109,"elapsed":0.984926,"status":200} service=stash
stash  | ERRO[2026-04-23 19:03:10] [Plugin / Scene Renamer] [runtime_preflight] waiting for preflight lock: /tmp/stash_renamer_runtime_preflight.lock 
stash  | ERRO[2026-04-23 19:03:10] [Plugin / Scene Renamer] [runtime_preflight] acquired preflight lock 
stash  | ERRO[2026-04-23 19:03:10] [Plugin / Scene Renamer] [runtime_preflight] starting preflight; python=/usr/bin/python3 version=3.12.13 (main, Apr 10 2026, 13:58:11) [GCC 15.2.0] 
stash  | ERRO[2026-04-23 19:03:10] [Plugin / Scene Renamer] [runtime_preflight] requirements path: /root/.stash/plugins/stash_renamer/requirements.txt 
stash  | ERRO[2026-04-23 19:03:10] [Plugin / Scene Renamer] [runtime_preflight] in_virtualenv: False 
stash  | ERRO[2026-04-23 19:03:10] [Plugin / Scene Renamer] [runtime_preflight] usersite: /root/.local/lib/python3.12/site-packages 
stash  | ERRO[2026-04-23 19:03:10] [Plugin / Scene Renamer] [runtime_preflight] sites: ['/usr/lib/python3.12/site-packages'] 
stash  | ERRO[2026-04-23 19:03:10] [Plugin / Scene Renamer] [runtime_preflight] sys.path entries: 6 
